Rk,Player,Bats,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,
248,Ramón Urías,Right,31,BAL,0.6,22,82,72,5,21,2,0,2,9,0,0,8,16,0.292,0.354,0.403,0.756,122,29,2,0,0,2,0,
273,Tyler O'Neill,Right,30,BAL,0.3,18,74,65,8,14,3,1,2,10,0,0,5,21,0.215,0.284,0.385,0.668,94,25,1,2,0,2,0,
294,Ramón Laureano,Right,30,BAL,0.7,26,67,61,7,13,5,0,4,7,1,0,5,19,0.213,0.269,0.492,0.76,117,30,3,0,0,1,0,
387,Gary Sánchez,Right,32,BAL,-0.4,12,35,30,1,3,0,0,0,4,0,0,1,12,0.1,0.2,0.1,0.3,-8,3,0,3,0,1,0,
401,Jorge Mateo,Right,30,BAL,-0.4,16,28,28,1,4,2,0,0,0,5,1,0,10,0.143,0.143,0.214,0.357,3,6,1,0,0,0,0,
427,Colton Cowser,Left,25,BAL,0,4,18,16,2,2,0,0,1,1,0,0,1,6,0.125,0.222,0.313,0.535,55,5,0,1,0,0,0,
429,Dylan Carlson,Both,26,BAL,-0.2,10,17,15,1,0,0,0,0,2,0,0,1,8,0,0.059,0,0.059,-81,0,0,0,0,1,0,
438,Emmanuel Rivera,Right,29,BAL,0.2,5,16,15,1,6,2,0,0,2,0,0,1,4,0.4,0.438,0.533,0.971,184,8,0,0,0,0,0,
446,Coby Mayo,Right,23,BAL,-0.4,4,13,12,0,1,0,0,0,0,0,0,1,6,0.083,0.154,0.083,0.237,-28,1,0,0,0,0,0,
469,Maverick Handley,Right,27,BAL,0,3,8,7,0,1,0,0,0,0,0,0,0,4,0.143,0.25,0.143,0.393,19,1,0,1,0,0,0,
2,Jarren Duran,Left,28,BOS,0.2,38,180,166,19,43,9,4,2,20,11,3,10,35,0.259,0.311,0.398,0.709,98,66,1,3,0,1,0,
